samples - プロット0	value - プロット0	
836	0.149549	
837	0.937145	
838	0.724477	
839	0.511546	
840	0.298353	
841	0.0848978	
842	0.871181	
843	0.657204	
844	0.442967	
845	0.22847	
846	0.0137143	
847	0.7987	
848	0.583428	
849	0.367898	
850	0.152112	
851	0.936069	
852	0.71977	
853	0.503216	
854	0.286408	
855	0.0693455	
856	0.852029	
857	0.63446	
858	0.416639	
859	0.198565	
860	0.980241	
861	0.761665	
862	0.542839	
863	0.323763	
864	0.104438	
865	0.884864	
866	0.665043	
867	0.444973	
868	0.224656	
869	0.00409307	
870	0.783284	
871	0.562229	
872	0.340929	
873	0.119385	
874	0.897597	
875	0.675565	
876	0.453291	
877	0.230774	
878	0.00801502	
879	0.785015	
880	0.561774	
881	0.338293	
882	0.114572	
883	0.890612	
884	0.666413	
885	0.441976	
886	0.217301	
887	0.992389	
888	0.76724	
889	0.541855	
890	0.316234	
891	0.0903783	
892	0.864288	
893	0.637963	
894	0.411405	
895	0.184613	
896	0.957589	
897	0.730333	
898	0.502845	
899	0.275126	
900	0.0471766	
901	0.818997	
902	0.590587	
903	0.361949	
904	0.133082	
905	0.903986	
906	0.674663	
907	0.445113	
908	0.215336	
909	0.985333	
910	0.755104	
911	0.52465	
912	0.293971	
913	0.0630685	
914	0.831942	
915	0.600592	
916	0.369019	
917	0.137224	
918	0.905207	
919	0.672969	
920	0.44051	
921	0.207831	
922	0.974931	
923	0.741813	
924	0.508475	
925	0.274919	
926	0.0411446	
927	0.807153	
928	0.572944	
929	0.338519	
930	0.103878	
931	0.869021	
932	0.633949	
933	0.398662	
934	0.163161	
935	0.927446	
936	0.691518	
937	0.455377	
938	0.219024	
939	0.982458	
940	0.745682	
941	0.508694	
942	0.271496	
943	0.0340879	
944	0.79647	
945	0.558643	
946	0.320608	
947	0.0823639	
948	0.843912	
949	0.605253	
950	0.366388	
951	0.127316	
952	0.888037	
953	0.648554	
954	0.408865	
955	0.168972	
956	0.928874	
957	0.688573	
958	0.448069	
959	0.207362	
960	0.966452	
961	0.72534	
962	0.484027	
963	0.242513	
964	0.000798711	
965	0.758884	
966	0.516769	
967	0.274455	
968	0.0319429	
969	0.789232	
970	0.546323	
971	0.303216	
972	0.0599126	
973	0.816412	
974	0.572716	
975	0.328823	
976	0.0847357	
977	0.840453	
978	0.595976	
979	0.351305	
980	0.10644	
981	0.861382	
982	0.616131	
983	0.370688	
984	0.125053	
985	0.879226	
986	0.633208	
987	0.387	
988	0.140601	
989	0.894013	
990	0.647235	
991	0.400268	
992	0.153113	
993	0.905769	
994	0.658238	
995	0.410519	
996	0.162614	
997	0.914522	
998	0.666244	
999	0.41778	
1000	0.169131	
1001	0.920298	
1002	0.671279	
1003	0.422078	
1004	0.172692	
1005	0.923123	
1006	0.673371	
1007	0.423437	
1008	0.173321	
1009	0.923024	
1010	0.672545	
1011	0.421886	
1012	0.171046	
1013	0.920027	
1014	0.668828	
1015	0.417449	
1016	0.165892	
1017	0.914157	
1018	0.662244	
1019	0.410153	
1020	0.157885	
1021	0.905441	
1022	0.65282	
1023	0.400023	
1024	0.147051	
1025	0.893903	
1026	0.640581	
1027	0.387085	
1028	0.133414	
1029	0.87957	
1030	0.625553	
1031	0.371363	
1032	0.117	
1033	0.862466	
1034	0.60776	
1035	0.352882	
1036	0.0978342	
1037	0.842616	
1038	0.587227	
1039	0.331669	
1040	0.0759412	
1041	0.820045	
1042	0.56398	
1043	0.307746	
1044	0.0513456	
1045	0.794777	
1046	0.538042	
1047	0.28114	
1048	0.024072	
1049	0.766838	
1050	0.509439	
1051	0.251874	
1052	0.994145	
1053	0.736251	
1054	0.478193	
1055	0.219972	
1056	0.961588	
1057	0.70304	
1058	0.444331	
1059	0.185459	
1060	0.926425	
1061	0.66723	
1062	0.407874	
1063	0.148358	
1064	0.888681	
1065	0.628844	
1066	0.368848	
1067	0.108693	
1068	0.848379	
1069	0.587906	
1070	0.327276	
1071	0.0664875	
1072	0.805542	
1073	0.544439	
1074	0.28318	
1075	0.0217651	
1076	0.760194	
1077	0.498467	
1078	0.236585	
1079	0.974549	
1080	0.712358	
1081	0.450013	
1082	0.187514	
1083	0.924862	
1084	0.662057	
1085	0.399099	
1086	0.13599	
1087	0.872728	
1088	0.609314	
1089	0.34575	
1090	0.0820343	
1091	0.818168	
1092	0.554152	
1093	0.289986	
1094	0.0256712	
1095	0.761207	
1096	0.496594	
1097	0.231832	
1098	0.966923	
1099	0.701866	
1100	0.436661	
1101	0.17131	
1102	0.905811	
1103	0.640167	
1104	0.374377	
1105	0.108441	
1106	0.842359	
1107	0.576133	
1108	0.309763	
1109	0.0432477	
1110	0.776589	
1111	0.509787	
1112	0.242841	
1113	0.975753	
1114	0.708522	
1115	0.441149	
1116	0.173634	
1117	0.905978	
1118	0.638181	
1119	0.370242	
1120	0.102164	
1121	0.833945	
1122	0.565586	
1123	0.297088	
1124	0.0284511	
1125	0.759675	
1126	0.490761	
1127	0.221708	
1128	0.952518	
1129	0.683191	
1130	0.413726	
1131	0.144124	
1132	0.874386	
1133	0.604512	
1134	0.334502	
1135	0.0643569	
1136	0.794077	
1137	0.523661	
1138	0.253112	
1139	0.982428	
1140	0.71161	
1141	0.440659	
1142	0.169575	
1143	0.898358	
1144	0.627009	
